,Review text,Ratings
56,"The Product is not original, the cork used to come out within 2 days of its use. Please don't buy these shuttles it's not original. Rather buy from the shop itself, the shop rates are the same.READ MORE",1
57,Quality was not good as earlier also the manufactur date also very long back. Earlier shuttlecocks I received with max past month manufacturer. But now that also too back.READ MORE,1
58,Not genuine productREAD MORE,1
59,Waste productREAD MORE,1
60,I have used same shuttle before. This item is not the same quality. It's to slow. Disappointed that time.READ MORE,1
61,Very High PriceREAD MORE,1
62,"Bad bad , compare to ah year back coming mavis 350READ MORE",1
63,"The yonex Mavis 350 is the best among all the yonex shuttlecocks. I am playing with it for more than one year. But the price is increasing unnecessarily, it was Rs. 729 in the last year.READ MORE",5
64,Very bad product quality i have used 3shuttle in only 3days Totally wastage of money Copied productREAD MORE,1
65,All shuttle's were heavier than the specifications. It felt like we were playing with a cheap rip off of the original MAVIS 350READ MORE,1
66,3rd class quality  I want Returns but time is overREAD MORE,1
67,Worst shuttle ever. The shuttles started spinning after few shots and did not even come for a game.READ MORE,1
68,Certain corks are damaged. Certain corks are not even came for 2 matchesREAD MORE,1
69,Very bad quality 👎READ MORE,1
70,Not expected qualityREAD MORE,1
71,Bad quality.... couldn't play 1hr  by an shuttleREAD MORE,1
72,not durable. very poor qualityREAD MORE,1
73,but price is littel bit highREAD MORE,4
74,GoodREAD MORE,5
75,NiceREAD MORE,3
76,not the required one.READ MORE,5
77,This product is not original.please avoid online purchase.READ MORE,1
78,One shuttle was damaged and vobling..let me know what to doREAD MORE,1
79,Good quality productREAD MORE,4
80,Good shuttle and  classic productREAD MORE,5
81,got defective piecesREAD MORE,1
82,"bad packing, unsatisfiedREAD MORE",1
83,Pros1. Quality product by yonex.It is original.2. Shuttle runs very long.3. Prompt delivery by flipkart.4. Shuttle is durable.Cons1.NoneREAD MORE,5
84,good quality..  nice product..  thanks fpr fast deliveryREAD MORE,5
85,Nice cockeREAD MORE,5
86,Good qualityREAD MORE,5
87,Scratch code mentioned in the barrel was verified in Yonex - Sunrise website. It mentioned that the product was duplicate.READ MORE,1
88,it's awsm 😎READ MORE,4
89,reasonable priceREAD MORE,5
90,"Excellent Product , Its 100% original product which i have received , Fast Delivery , No second tough go for it.....READ MORE",5
91,One of the best offer given by My flipkart. best shuttle for tournaments and training. Always use this type of shuttles for play. No.1- yonex 350mavis Green. thanks to flipkart for best deal . always put these type of deal . i have booked for 599 only.......READ MORE,5
92,"good . no question about it . lasting for 15-20 matches . but you can purchase yonex mavis 350 blue one . little bit fast but good for smash , lasting same like green capREAD MORE",4
93,Mavis 350 is quite durable and and really good for starters. But I recommend Mavis 500 for best practice sessions.READ MORE,4
94,"Received product before committed time. Thanks flipkart... This mavis 350 is really awesome product. It doesn't matter whether you are beginners, intermediate or advanced level of player this mavis 350 is definitely perfectly works for all. I am playing with this from last 2 years.READ MORE",4
95,"Good ,very nicely packed and everyshuttle was very nice insude with perfect flight.READ MORE",5
96,"got this product earlier than expected at Rs689 on 7 th april 2018  on sale. box was properly sealed with Feb2018 packing/import date i m not sure but Mrp was 1040. so, for me it was way cheaper than market price here (Rs 750 per box). I also checked popular websites but no one was close to Flipkart at that point. I always use Mavis 350 green cap for its stability, durability and speed in open court. Thanks Flipkart, hoping cheaper deal again.READ MORE",5
97,"This is the best choice for people who wants to practice both indoor and outdoor badminton and not get into financial obligations of feather shuttle. Mavis 300 is hard to find at times, so 350 is a savior as it's always available. Yellow ones are a bit better for outdoor and white is fine indoors because of their respective colours against the given backdrop. Flipkart has offered best price in almost all season so far. Longevity of the shuttles are starkly less when played with at outdoor due...READ MORE",5
98,"After a long time, got an entire box of genuine shuttles. Dynamic pricing strategy is a big no. Everyday prices can't go up and down. Otherwise we would be more than happy to buy.READ MORE",4
99,very good product n durable but not good enough speed slows down little in mid airREAD MORE,4
100,The shuttles were imported in February 2018 (bought March last) and the serial number revealed after scratching the sticker shows that the item is genuine. Did not start to play yet. But the items look good and sturdy. Got it for 708 and i think it is worth for the price. Also happy to get the items delivered quickly.READ MORE,4
101,Best shuttlecocks... It's life is far better than li ning or any other shuttle in this price range... I purchased it from rs654  during sale... It's flight is also better than other shuttlecocksREAD MORE,5
102,Good n Nice balanced shuttles... Thanks retailnet n flipkart.. Hope we'l get more convincing rates of lowered one...READ MORE,4
103,"This shuttle is the best one, it is excellent 👍 price doesn't matter ❤️READ MORE",5
104,"Quality  very bad,per day one cork finished,may be it look like duplicate  mavis 350 corks.I purchased  many cork boxes  from all sellers.that all cork  boxes  comes  15 days  for playing, but this box stays only 6 days ,so you understand  how delicate this cork box  isREAD MORE",1
105,Cost is too high I hate the productREAD MORE,1
106,Very poor quality...inconsistent speed...poor flightREAD MORE,1
107,Yonex is always best in quality....READ MORE,5
108,worst shuttle... these doesn't last even for a day... very poor quality... not sure if it is due to stock issue or is that a copy product... I would never buy this through flipkart...READ MORE,1
109,"i have used this product. good for economic use. Durable and good balance. long lasting, even sustains wrong shots. Quiet economic when compared with Feather Shuttles.READ MORE",5
110,I'm very happy with this product and its quality. It arrived before its actual delivery date given. Thanks Flipkart for your quick delivery.  I recommended it to everyone who would like to enjoy a longer and satisfied games.READ MORE,5
111,Amazing shuttlecockDurable and of best qualityGo for it.READ MORE,5
112,checked at Sunrisetnt.com . found genuineREAD MORE,5
113,Horrible!!! In my 1st order I received Mavis 200i which was not sealed and the bill was of Mavis 350 I thought it was mistake then i asked for replacement in replacement I received box of Mavis 350 which was again not sealed and inside were cheap shuttles of local quality. Do not buy from Flipkart.READ MORE,1
114,AverageREAD MORE,2
115,"Excellent synthetic shuttles from Yonex. I have used 350s, 500s as well as 2000s. I prefer these yellow ones for the visibility. In general the 350s are quite durable and long lasting (one shuttle can easily last half a dozen to a dozen intense games before the flight becomes unacceptable), and i found them to travel shorter distances than the 2000s and therefore prefer them.READ MORE",5
116,Best shuttle available in the market. I have not used any other shuttles till now. So not aware of a better shuttle.The price I got it from Flipkart is really the best price. I have researched checking other online stores and sports shops. This is definitely the best price I could find.READ MORE,5
117,"Bad quality, i have pirchase 4 boxes but all are very fast.READ MORE",1
118,Best shuttle available online no more discription needed.READ MORE,5
119,long lasting product.....nice product....READ MORE,5
120,best shuttleREAD MORE,5
121,🏸Good Quality... 🏸READ MORE,5
122,Fabulous itemREAD MORE,5
123,Nice quality.Very good product.I am very much thankful to Flipkart and the Courier company for delivering me so quickly.I am very happy.And I will definitely tell to my friends to order this product.READ MORE,5
124,Feels the quality is far less compared to previous set which was brought from other platform. 1 Shuttle is breaking or wobbling per 1 hr game session.. Feeling cheated..READ MORE,1
125,This is the original mavis 350READ MORE,5
126,Bad quality and poor quality while playing the ahuttles caps or looseREAD MORE,1
127,Two shuttles were durable out of 6..READ MORE,3
128,Poor quality. It was horrible. I didn't play two games with each shuttleREAD MORE,1
129,Worst product. Every ball in this box got flat within one or two strokes. The disappointed fact is Flipkart is not accepting the replacement because of open box delivery. Without using the product how could I know the quality?READ MORE,1
130,Best oneREAD MORE,5
131,Excellent product👌READ MORE,5
132,Very Bad Quality in filpkartREAD MORE,1
133,Delicate productREAD MORE,3
134,Bad qualityREAD MORE,1
135,Don't have good qualityREAD MORE,1
136,Quality of 2 shuttles not as per Mavis 350 standards.READ MORE,1
137,It's is good product and the service was very goodREAD MORE,5
138,2nd qualityREAD MORE,1
139,Local productREAD MORE,2
140,Very old stock.. not lasts to even 5 gamesREAD MORE,2
141,All shuttles are not good in view of balance.READ MORE,1
142,OkREAD MORE,5
143,Nice product all suttles are good 🥰🥰READ MORE,5
144,Nice productREAD MORE,5
145,Old one onlyREAD MORE,2
146,Super ballREAD MORE,5
147,According to cost it's average lifeREAD MORE,5
148,So worstREAD MORE,2
149,👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎Poor quality 👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎READ MORE,1
150,Quality not good              It was broken after 2 matchREAD MORE,1
151,Nice product but damage in 1 daysREAD MORE,2
152,Not good at all this is the worst product I have bought at flipkartREAD MORE,1
153,Low quality. Not durabalityREAD MORE,5
154,BadlyREAD MORE,1
155,Very bad qualityREAD MORE,1
156,Very bad product a word to describe I write duplicate productREAD MORE,1
157,This time quality very very worstREAD MORE,1
158,Poor quality ☹️READ MORE,2
159,Very  low bad quality product Flipkart is fooling everyoneREAD MORE,3
160,"This shuttles were duplicates, these were not up to the mark.READ MORE",2
161,Very bad product I ever receivedREAD MORE,1
162,Bad copy quality riceveREAD MORE,1
163,Waste of moneyREAD MORE,1
164,Quality is very bad and very very tired class shuttecockREAD MORE,1
165,WorstREAD MORE,1
166,So poor qualityREAD MORE,1
167,Reate is wery to muchREAD MORE,1
168,The worst shuttle ever I used so far. Don't buy this product. It is low in qualityREAD MORE,1
169,not upto mark cork getting cracksREAD MORE,2
170,Very poor quality Is not lasting for one set. Base is breakinf and the top is wornREAD MORE,1
171,"Bad quality, not good at all I dont like to prefer, beacuse delivery it's too late and as they comfortable they will change as theirs elf near me product is there also they will not deliver, if any emergency things don't order from flipcart better go some other apps ,....really too bad service.. product quality also too badREAD MORE",1
172,Very goodREAD MORE,5
173,Good quality of shuttlesREAD MORE,5
174,"I'm writing this review only because before i have rated only 3 star because i received a duplicate product,,,now I'm rating 5 star as i have received the original yonex mavis 350 shuttle,,thank you and in future i hope i will only receive the original productsREAD MORE",5
175,Bad productedREAD MORE,1
176,Good productREAD MORE,4
177,Received counterfeit product.READ MORE,3
178,If u play with this for about 3 to 4 hours daily then 1 shuttle would last for maximum 2 days..READ MORE,5
179,Good productREAD MORE,5
180,One day 1cap gaanREAD MORE,3
181,GoodREAD MORE,5
182,Superb. But why price is higher day by day. Between two weeks price is gained 170rsREAD MORE,5
183,Good qualityREAD MORE,5
184,Very costly now during lockdown phase previously it os 650 now sometimes 750 sometimes 850READ MORE,3
185,BestREAD MORE,5
186,I play every day with this and we play really hard in Courts. This has always been a best choice.READ MORE,4
187,This item is so good you can buy it it is originalREAD MORE,5
188,Excellent for Indoor courtREAD MORE,5
189,Genuine product. Nice packing.READ MORE,5
190,Good quality..😍🖤READ MORE,5
191,Nice thanks  FlipkartREAD MORE,4
192,Nice productREAD MORE,5
193,"Gradual decrease in quality, less longevity.READ MORE",3
194,Nice productREAD MORE,5
195,wow productREAD MORE,4
196,1 box out of 4  boxes has very bad shuttle. All shuttles of that box was not playable.READ MORE,1
197,Product is not same as shown in the picture.READ MORE,1
198,just Average.... not 100% goodREAD MORE,3
199,"I realized that not to buy  shuttles from online ever. cheap and duplicate product.  no refund of your amount, only replacement of the product. plz don't waste your money.READ MORE",1
200,Shuttle is just okayish.It's movement in the air is a bit different from other Mavis 350s.READ MORE,2
201,I found that some of the shuttle are differentREAD MORE,3
202,shuttle was not of genuine conectarte qualityREAD MORE,1
203,poor qualityREAD MORE,1
204,2 balls are waste. they are rotate. unable to play.READ MORE,4
205,very poor quality.... 1 shuttle in not standing more than 2 daysREAD MORE,1
206,original productREAD MORE,5
207,Shuttle not goodREAD MORE,2
208,good as expectedREAD MORE,5
209,goodREAD MORE,5
210,Yonex Mavis 350 is not a pure item. shuttle's are so oldREAD MORE,1
211,"Nice product 👌👌👌👌👌👌👌😎.I suggest you,plz buy this product .This is original product.Made in Japan 😀READ MORE",5
212,Good👍READ MORE,4
213,very niceREAD MORE,5
214,niceREAD MORE,5
215,nice shuttle for outdoorREAD MORE,5
216,good productREAD MORE,5
217,amazing cost and amazing oneREAD MORE,5
218,The packing made by flipkart is absolutely perfect and the mavis 350 are pretty good But I think this is very cost for this out side we can get it for just rs600 we can play very hard with these shuttlesREAD MORE,4
219,good dilevary and very good productREAD MORE,5
220,it's worthREAD MORE,3
221,GoodREAD MORE,3
222,Looks like these are fake shuttles & not sold by yonex.READ MORE,1
223,worst product not to buy low qualityREAD MORE,1
224,shuttles were shapeless as they may have been mishandelrd while in transportationREAD MORE,1
225,product is not goodREAD MORE,1
226,"5 days for a delivery, it's something really very frustrating, even till now I didn't get the product.. please work on service.READ MORE",1
227,bad qualityREAD MORE,1
228,Very good productREAD MORE,5
229,best quality shuttlesREAD MORE,5
230,good quality. value the moneyREAD MORE,5
231,very goodREAD MORE,3
232,Very worstREAD MORE,1
233,NOT BAD....READ MORE,4
234,shuttle is very good for me I am playing for last 8 days and the shuttle is still good.Value for money.Thank u Flipkart.READ MORE,5
235,"Bad Quality,,,,,,READ MORE",1
236,Quality is not good. Little bit fast.READ MORE,2
237,Excellent it's original as I buy in local sports storesREAD MORE,5
238,"Poor quality, shuttle become broke within 3-4 hour playing .ie within 1 dayREAD MORE",1
239,The shuttles worn off really quickly. More quickly than a regular mavis 350 does. So I tried to verify the authenticity of the product by entering the code on it onto the website and lo it was a genuine product.I've attached the pictures for reference. It developed a hairline crack so quickly after just half a match. All other shuttles had the same quality.READ MORE,1
240,Nice product best price superREAD MORE,5
241,If you are a professional player and played in Mavis 350 green colour then don't go for this product as this is lighter and slower than the green one. If you are a new buyer then you can go ahead and buy it as it doesn't matter. The speed is slower than the green Mavis 350READ MORE,3
242,Optimum weight and speed.. Easy to control the shots and easy court cover.  Good for learners and even beginners.. Base is not that of thermocol type material like its there in other yonex shurttles.. its a cork base so doesn't  get ruptured easily..  Worth buying👍READ MORE,4
243,It's not suitable for outdoorREAD MORE,1
244,It seems it is not original. Lighter and not lasting for more than an hour of play.READ MORE,2
245,Horrible shuttle I ever playREAD MORE,2
246,"Finally got orginal yonex mavis 350.Genuine piece.There are so many fakes avilable in market.so serious players buy from here, you wont regret.READ MORE",5
247,One shuttle lasts hardly 5 days which is very less. So I would suggest to the makers to keep in mind this thing before manufacturing. Price is also very high. Make it either durable or cheap for user friendly.READ MORE,3
248,"Item received in excellent condition, that too within one day. Thanks to the team. However one suggestion, please don't send the item in such a big cardboard box. Its actually a wastage of resources.READ MORE",5
249,Used both the boxes... People who say they are fake have either never played with mavis 350 or may have received a damaged box that might have disturbed the flight of the shuttle.... For me who plays with mavis 350 day in and day out... It is absolutely original and being speed 75...it plays well in Delhi heat above 35 degrees.... Will order moreREAD MORE,5
250,"Product is good as like as bought in the open market. Price also is equal to open market. It would be good in on line, if price is less.READ MORE",5
251,nice itemsREAD MORE,5
252,Thank you flipkart for providing such a great product with good quality and great deal.READ MORE,5
253,shutte is durable(lasts long) with good flight time ...much better than what I purchased at local store. also with offer it is cheaperREAD MORE,5
254,I love it.....It is really very guudAs well as it has a fantastic delivery It's so early alsoREAD MORE,5
255,it's really good shuttle.  if you  want to improve your game it's best and also durable . it's flight is good and weight balance is superb.  it's best for amateur  levelREAD MORE,5
256,Not convinced with the quality of product.READ MORE,3
257,"There is no option to put images in the review section , the shuttles delivered were all used ones and not even Mavis 350 , The seller must be totally  unprofessional  , a basic check of a seal should be taken care by Flipkart atleastREAD MORE",1
258,okREAD MORE,3
259,Value for MoneyREAD MORE,4
260,Excellent product but cost is higherREAD MORE,5
261,one Shuttle just broken in 4 days by a smashREAD MORE,2
262,"Shuttle is very poor,Guys dont purchase,flipkhart check with supplier,other very big impact other sales alsoREAD MORE",1
263,"nice shuttle , The Flight is correct, and good durability.READ MORE",5
264,Ball best but local rate are highREAD MORE,4
265,"Good, but flipcart price is too high. From the market we get it only 110 rs per peaceREAD MORE",3
266,"Good, slow type cork, we r using it for daily game, one cork lasts for 3 daysREAD MORE",4
267,Best shuttlecock ever.... we play everyday for abt 4 hours continusly.... and we still use 1 shuttlecock for about 8 to 10 days... it's very durable.. and has got really good flight... Yonex rocks.... 👍READ MORE,5
268,Very worst rateREAD MORE,1
269,shuttle has long life and light.READ MORE,5
270,Worst product.Dont go for it.It will not stand for an hour playREAD MORE,1
271,You are fleecing customers by tagging wrong MRP.READ MORE,1
272,Better for beginnersREAD MORE,5
273,"shuttle not Good ,even  1 match it will come,think twice before purchaseREAD MORE",1
274,Its okkREAD MORE,2
275,1st time order quantity is good but next time quality is very poor . Shuttle not looking same also .READ MORE,2
276,Nice product for practiceREAD MORE,5
277,ExcellentREAD MORE,5
278,Good oneREAD MORE,5
279,NiceREAD MORE,5
280,GoodREAD MORE,4
281,It is good .READ MORE,5
282,Original product with great discountREAD MORE,5
283,Good productREAD MORE,3
284,"Absolutely good quality shuttles,and great packing by the team.READ MORE",5
285,Product  is  good  but  price  is  increased  Retailer  price  is  620 .READ MORE,3
286,"Dear Retailnet, this is the second order, second order  was ifferent to first one. this one the packing look different and the quality was nice.thanks happy with the second orderREAD MORE",5
287,"Best cicks,but price was very highest please think itREAD MORE",5
288,Poor product...READ MORE,2
289,Poor qualityREAD MORE,2
290,Value for moneyREAD MORE,5
291,Not badREAD MORE,3
292,BestREAD MORE,5
293,Not so good.READ MORE,2
294,Quality not good and rotate the cork new oneREAD MORE,2
295,Very worst productREAD MORE,1
296,Best qualityREAD MORE,5
297,One roll of corks Only two piece of cork is goodBut other four corks is waste after one match corks rolling So don't buy this productREAD MORE,1
298,"Bad product. Out of 6, one or two number shuttle were good. All others are getting damaged in one matchREAD MORE",3
299,Bad quality .READ MORE,1
300,Nice product and packingREAD MORE,4
301,This seems to be duplicate...general shuttle can be used around 3 to 5 days..but this online purchased product cannot be used more than 1 day...you can feel the difference with the shuttle while playingREAD MORE,1
302,SuperREAD MORE,5
303,Best qualityREAD MORE,5
304,Going bad quickly. 1 to 2 days.READ MORE,1
305,"Extremely good,fully satisfied with its quality wishes to place repeat orderREAD MORE",5
306,Best shuttle corkREAD MORE,5
307,After playing 3to 4 matches cork gets rotate.  No longer used to play further games.READ MORE,3
308,Good quality productREAD MORE,5
309,Best for out gameREAD MORE,3
310,You. Should definitely buy thisREAD MORE,5
311,"Nice quality, genuine product and affordable priceREAD MORE",5
312,It is good for outdoor. Easy to spoil when it contact with water.READ MORE,4
313,Nice must buyREAD MORE,5
314,GoodREAD MORE,5
315,Good productREAD MORE,4
316,Nice oneREAD MORE,5
317,Excellent 👌READ MORE,5
318,Thanks FlipkartREAD MORE,5
319,Best oneREAD MORE,5
320,Very goodREAD MORE,5
321,OkREAD MORE,3
322,Very good productREAD MORE,5
323,Breaking in 1 hour game . Bad qualityREAD MORE,3
324,As expected... Nice..READ MORE,4
325,Superb..READ MORE,5
326,ExcellentREAD MORE,5
327,Good productsREAD MORE,4
328,NiceREAD MORE,4
329,Nice product and longlifeREAD MORE,5
330,Very goodREAD MORE,5
331,WorthyREAD MORE,4
332,Very nice product thank you Flipkart original Mavis 350 ....READ MORE,5
333,Nice product. .READ MORE,5
334,GoodREAD MORE,4
335,GoodREAD MORE,5
336,I received original product.READ MORE,4
337,"Very good shutles ,READ MORE",5
338,GoodREAD MORE,5
339,One ball play on one weekREAD MORE,4
340,Genuine productREAD MORE,5
341,Best products of whole yonex companyREAD MORE,5
342,Bad quality...READ MORE,1
343,Very niceREAD MORE,5
344,goodREAD MORE,5
345,The bottom quality is not up to the mark. The wooded cork breaks apart when directly hit by the frame.READ MORE,3
346,Okay okREAD MORE,3
347,GoodREAD MORE,5
348,OkREAD MORE,4
349,"It was a genuine product, received in perfect condition.READ MORE",5
350,GoodREAD MORE,5
351,Easily got damagedREAD MORE,1
352,Worst boxREAD MORE,1
353,GoodREAD MORE,5
354,On time delivery and quality was goodREAD MORE,5
355,Now a days getting bad quality.READ MORE,3
356,THIS SHTLES ARE VERY NICE AND ORIGNAL .ONE CAN BUY FROM THIS SITEREAD MORE,5
357,Nice 👍👍👍READ MORE,5
358,Some shuttle quality wise not good actually we need to hit the shuttle with more power even thought it won't.READ MORE,4
359,Very bad not goodREAD MORE,1
360,GoodREAD MORE,4
361,Very bad productREAD MORE,1
362,GoodREAD MORE,5
363,Very poor quality. Don't buy.READ MORE,1
364,It's goodREAD MORE,4
365,Nice... Cost was highREAD MORE,5
366,Product is good prices are highREAD MORE,4
367,NiceREAD MORE,5
368,GoodREAD MORE,4
369,Very good productREAD MORE,5
370,Quality not goodREAD MORE,1
371,Good.READ MORE,4
372,Very niceREAD MORE,5
373,goodREAD MORE,5
374,Very goodREAD MORE,5
375,FantasticREAD MORE,5
376,Full Balanced Shuttle Great Experience with FlipkartREAD MORE,5
377,OkayREAD MORE,5
378,GoodREAD MORE,4
379,shuttle are very smooth i like itREAD MORE,5
380,Very goodREAD MORE,5
381,350 best shuttle for intermediate players.READ MORE,5
382,NiceREAD MORE,3
383,Superb qualityREAD MORE,5
384,SuperREAD MORE,5
385,Very worestREAD MORE,1
386,ExcellentREAD MORE,5
387,Price is too highREAD MORE,3
388,Nice productREAD MORE,5
389,Best qualityREAD MORE,5
390,GoodREAD MORE,3
391,GoodREAD MORE,5
392,Good Quality and more discount. 👌👌READ MORE,5
393,Good product qualityREAD MORE,5
394,"This set of shuttle is very fine and long lastic , sustainable.READ MORE",5
395,Worth to buyREAD MORE,5
396,"Prodct is good, long lasting and powerfull.READ MORE",5
397,Reliable product with best serviceREAD MORE,5
398,Try to reduce the cost this productsREAD MORE,3
399,Great shuttleREAD MORE,4
400,Well conditionREAD MORE,4
401,Always good...READ MORE,5
402,"Product is good,but price costlyREAD MORE",5
403,Great shuttle best in allREAD MORE,4
404,SuperREAD MORE,5
405,It's nothing to say hate but it's fantastic....READ MORE,5
406,OkREAD MORE,4
407,GoodproductREAD MORE,5
408,Very goodREAD MORE,5
409,Valuable product 👍READ MORE,5
410,Quality not good...READ MORE,3
411,Very goodREAD MORE,4
412,Very niceREAD MORE,5
413,Best QualityREAD MORE,5
414,Good productREAD MORE,4
415,Nice shuttleREAD MORE,5
416,OkREAD MORE,3
417,ExcellentREAD MORE,5
418,Very goodREAD MORE,5
419,Durable and pretty smooth while controllingREAD MORE,5
420,GoodREAD MORE,5
421,GoodREAD MORE,3
422,Good oneREAD MORE,4
423,Very goodREAD MORE,4
424,GoodREAD MORE,5
425,Good quality productREAD MORE,5
426,"Nice,READ MORE",5
427,Good 😊READ MORE,5
428,Gud qualityREAD MORE,5
429,GoodREAD MORE,4
430,GoodREAD MORE,5
431,WorstREAD MORE,1
432,GoodREAD MORE,5
433,NiceREAD MORE,4
434,Good productREAD MORE,5
435,Worst product no qulityREAD MORE,1
436,GoodREAD MORE,4
437,"Awesome.,..got at such a price.....thank you so much flipkartREAD MORE",5
438,GoodREAD MORE,4
439,Very nice productsREAD MORE,5
440,As expected. Thank youREAD MORE,5
441,GoodREAD MORE,5
442,Using this product Mavis 350 for years . But this time very poor quality shuttles received..READ MORE,2
443,Very niceREAD MORE,5
444,Not good no variginalREAD MORE,1
445,Very good.. recommendedREAD MORE,5
446,The best yonexREAD MORE,4
447,Nice og productREAD MORE,5
448,NiceREAD MORE,5
449,Bad quality productREAD MORE,1
450,GoodREAD MORE,5
451,Worst products not buy online shop yonex mavis 350READ MORE,1
452,Supr 👍READ MORE,4
453,The shuttles are very nice. Nothing to complain aboutREAD MORE,5
454,NiceREAD MORE,4
455,There is no debate these are the best in the market but are always out of stockREAD MORE,5
456,It is excellent item. Good performanceREAD MORE,5
457,Very nice n original productREAD MORE,5
458,Very good shuttleREAD MORE,5
459,GoodREAD MORE,3
